objekt_id,rule,n_verts,n_faces,bbox_x,bbox_y,bbox_z,vol_bbox,vol_hull,area,sphericity,fill_ratio
mutant_0,R1_Erstatning,498164,996308,7.921570062637329,11.0,6.611443996429443,576.1031851621066,378.9402177218713,301.8915073031098,0.8094544579443045,0.6577644899068616
mutant_1,R3_Skalering,405163,810308,6.881736478815564,12.112816533959862,5.998028216123298,499.97890601226015,399.97155419231814,301.6279741513806,0.79754595232534,0.799976857788697
mutant_2,R7_Forskyving,313640,627304,7.833323742718054,11.400000095367432,6.329685926437378,565.2402659157704,271.2575381490286,239.26700341687746,0.7798485976432775,0.47989776119284866
mutant_3,R3_Skalering,405163,810308,8.132877576289633,12.753539690479734,5.489458556874246,569.3829834560918,455.493209983558,331.2712249429241,0.7875976937014673,0.7999768577886971
mutant_4,R3_Skalering,419126,838284,1.1873420990019656,1.8946000473348268,1.5045717425979448,3.3845919059727834,2.413029297117998,7.078789051637644,0.8334216718365741,0.7129454197593894
mutant_5,R1_Erstatning,415986,831992,8.703559875488281,11.400000095367432,8.703974723815918,863.6134500881536,393.970983011399,279.90490593539175,0.8063039174694164,0.4561890310661376
mutant_6,R7_Forskyving,405163,810308,9.103248517074004,11.0,5.480313539505005,548.7752171175947,341.37991287238583,273.0324347358006,0.7922582185994177,0.6220760381007384
mutant_7,R3_Skalering,308201,616666,1.1681648081770435,1.7007194062252444,1.3385684240168416,2.659361407536938,1.7066947579684444,7.260296058135827,0.8171464921866726,0.6417686415736777
mutant_8,R7_Forskyving,93001,186000,8.024518574116248,1.0199999809265137,6.611443996429443,54.11472724218081,19.005177255062428,31.46867582755383,0.582196390980337,0.35120157161669036
mutant_9,R3_Skalering,259814,550968,3.0973207552499322,6.709334475106776,5.23911041345264,108.87374877671066,83.47162882440078,67.86923732511084,0.7899678892246906,0.7666827840712354
mutant_10,R1_Erstatning,362160,755656,8.703559875488281,7.5,8.703974723815918,568.1667387260131,210.38113855691344,128.95335354494324,0.8040788456277529,0.37028063104969167
